System;Country;City;Population1;Type;Dock Stations;Virtual Stations;Docks;Bikes;Operator;Reponsible Entity;Tecnology / Equipament;Old Tecnology / Equipament;Sponsor;Transit Integration;Opening Hours;Fees;Payment Options;Over Time Aditional Fee;Launched;Shut down;Relaunch;Description Re-launch;Open Data;API/Data;Website;Last update LatinoSBP;Source
Ciclo Sampa;Brasil;São Paulo;11253503;Dock Based;20;NA;;200;Trunfo Eventos e Comunicação;Prefeitura de São Paulo;Cyclo Share;NA;Bradesco Seguros;No;06:00h - 22:00h;Free;Credit Card;Yes;December-2013;NA;NA;NA;;;https://ciclosampa.pegbike.com.br/ciclosampa/index.php;18/12/2019;"https://vejasp.abril.com.br/cidades/ciclosampa-aluguel-de-bicicletas/; http://bike-sharing.blogspot.com/2012/12/the-bike-sharing-world-mid-december-2012.html"
Ecobike;Brasil;Indaiatuba;201619;Dock Based;4;NA;;200;Departamento Municipal de Trânsito;Prefeitura de Indaiatuba;Tembici/Muzzycycles;NA;Fundação Toyota;Yes;Workdays: 9:00-17:00h/Weekends: 9:00-18:00h;Free;NA;No;July-2012;NA;NA;NA;;;https://www.facebook.com/prefeituradeindaiatuba/posts/1013601945425925/;10/12/2019;http://www.itu.com.br/regiao/noticia/projeto-disponibiliza-bicicletas-a-populacao-20120703
GynDeBike;Brasil;Goiânia;1302001;Dock Based;18;NA;;180;Serttel;Prefeitura de Goiânia;Serttel;NA;Unimed Goiânia;No;06:00-22:59h;Daily, Monthly, Annual;Credit Card;Yes;December-2016;NA;NA;NA;;;http://www.debikegoiania.com/;16/12/2019;"http://www4.goiania.go.gov.br/portal/pagina/?pagina=noticias&s=1&tt=not&cd=11675&fn=true; https://www.emaisgoias.com.br/goiania-ganha-cinco-novas-estacoes-de-bicicletas-compartilhadas/"
GynDeBike Kids;Brasil;Goiânia;1302001;Dock Based;2;NA;;20;Serttel;Prefeitura de Goiânia;Serttel;NA;Unimed Goiânia;No;06:00-22:59h;Daily, Monthly, Annual;Credit Card;Yes;February-2019;NA;NA;NA;;;http://www.debikegoiania.com/bikekids.aspx;16/12/2019;"http://www.ohoje.com/noticia/cidades/n/165604/t/goiania-ganha-duas-estacoes-de-bikes--para-criancas; http://blog.goiania.go.gov.br/2019/02/27/goiania-ganha-mais-cinco-estacoes-de-bicicletas-compartilhadas/"
IntegraBike;Brasil;Sorocaba;586625;Dock Based;25;NA;266;200;URBES;Prefeitura de Sorocaba;Compartbike;Serttel;Public;Yes;06:00-22:00h;Free;Transit Card;Yes;May- 2012;NA;April-2016;New bikes, new stations and new Technology;;JSON/googleMapx;https://integrabike.tembici.com.br/;18/12/2019;https://www2.jornalcruzeiro.com.br/materia/596942/licitacao-preve-11-novas-estacoes-do-integrabike http://agencia.sorocaba.sp.gov.br/integrabike-mais-bicicletas-estacoes-e-beneficios-aos-usuarios/
Loop Bike;Brasil;Gramado;32273;Dockless;NA;7;NA;;Loop;Prefeitura de Gramado;Loop;NA;Private;No;07:00-22:00h;Payment per hour;Credit Card;Yes;December-2018;NA;NA;NA;;;https://www.voudeloop.com/;10/12/2019;http://gramadoexperience.com/2019/07/passeio-de-bicicleta-em-gramado-com-a-loop-bike-sharing/
Loop Bikes;Brasil;Porto Alegre;1409351;Dockless;NA;29;NA;60;Loop;Prefeitura de Porto Alegre;Loop;NA;Private;No;07:00-22:00h;Daily or Monthly;Credit Card;Yes;November-2017;NA;NA;NA;;;https://www.voudeloop.com/;13/12/2019;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2019/02/bikes-e-patinetes-por-todos-os-lados-mudam-visual-de-bairros-em-porto-alegre-cjsn5yybj030w01p80unl0puy.html
Mais Bike;Brasil;Brasília;3015268;Dock Based;48;NA;;400;Serttel;Prefeitura de Brasília;Serttel;NA;Mastercard;No;6:00-23:59h;Daily, Monthly or Annual;Credit Card;Yes;May-2014;NA;August-2017;New Sponsor;http://dados.gov.br/dataset/viagens-feitas-com-o-sistema-de-bicicletas-compartilhadas-do-distrito-federal;;http://www.maisbikecompartilhada.com.br/;10/12/2019;https://www.agenciabrasilia.df.gov.br/2017/08/09/governo-lanca-plano-bike-com-ampliacao-de-ciclovias-e-mais-bicicletas-publicas-em-brasilia/
Mais Bike Kids;Brasil;Brasília;3015268;Dock Based;2;NA;;10;Serttel;Prefeitura de Brasília;Serttel;NA;Mastercard;No;6:00-23:59h;Daily, Monthly or Annual;Credit Card;Yes;June-2018;NA;NA;NA;;;http://www.maisbikecompartilhada.com.br/;10/12/2019;https://www.agenciabrasilia.df.gov.br/2018/06/17/deck-sul-recebe-estacao-de-bicicletas-compartilhadas-para-criancas/
Mini Bicicletar;Brasil;Fortaleza;2669342;Dock Based;5;NA;;50;Serttel;Secretaria Municipal de Conservação e Serviços Públicos;Serttel;NA;Unimed Fortaleza;with Bilhete Único;05:00h-23:59h;Daily, Monthly Annual or Free with Bilhete Único;Credit Card;Yes;June-2017;NA;NA;NA;;;http://www.bicicletar.com.br/miniBicicletar.aspx;16/12/2019;https://www.fortaleza.ce.gov.br/noticias/prefeitura-de-fortaleza-inaugura-primeiras-estacoes-do-mini-bicicletar-com-atividades-culturais-para-criancas
Passo Fundo Vai de Bici;Brasil;Passo Fundo;184826;Dock Based;10;NA;;110;Vai de bici;Prefeitura de Passo Fundo;Mobhis;NA;Public;Yes;06:00-22:00h;Free;NA;Yes, Hours Penality;01/05/2016;NA;NA;NA;;;http://pfvaidebici.mobhis.com.br/;10/12/2019;https://www.mobilize.org.br/noticias/9524/passo-fundo-rs-inaugura-pontos-de-aluguel-gratuito-de-bicicleta.html
RiviBike;Brasil;Bertioga;47645;Dock based;7;NA;75;38;Tembici;Prefeitura de Bertioga;PBSC;Compartibike;Sobloco;Yes;7:00-22:00h;Free;Credit Card;Yes;December-2012;NA;December-2018;New Technology;;JSON/GBFS-PBSCShift;https://www.rivieradesaolourenco.com/rivibike-2/;10/12/2019;https://www.rivieradesaolourenco.com/rivibike-no-the-bike-sharing-world-map/
Salvador vai de bike (Azulzinhas);Brasil;Salvador;2675656;Dock Based;4;NA;;80;Tembici;Prefeitura de Salvador;;NA;Itaú;No;Only Saturday and Sunday: 07:00-17:00h;Payment per hour;Credit Card;Yes;September-2015;NA;NA;NA;;;http://www.salvadorvaidebike.salvador.ba.gov.br/index.php/acoes;17/12/2019;"http://g1.globo.com/bahia/noticia/2015/09/bicicletario-publico-sera-inaugurado-no-farol-da-barra-neste-sabado.html; https://www.mobilize.org.br/noticias/10393/bikerio-bike-sampa-bikepe-bikepoa-etc-mudam-de-operadora.html?print=s; http://www.salvadorvaidebike.salvador.ba.gov.br/index.php?option=com_content&view=article&id=5&catid=9&Itemid=101"
